excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-02,9,-0.6211067426226159,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.6028701852060472,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-0.6096826613107497,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.6498025566202384,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.430328278108784,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.3953878709250076,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.6913740408169378,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,-0.6146657755000453,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,-0.7388785563155261,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-1.1699952110945158,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-1.0818268937735924,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-1.0990654907635073,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-1.1084159297075182,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-1.0603286684781643,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.9182598594405041,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-1.0015749544336512,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.8981357221109115,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_margin_reduction,FrozenResNet18,ResNet18
