scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,CNN,101,4,661,7,1,0.7503782148260212,0.7503782148260212,0.7183802010266758,0.593709592244964,0.7535399517569297,0.7535399517569297
fold,CNN,101,5,1061,8,1,0.38642789820923656,0.38642789820923656,0.7791666666666666,0.6289655277797664,0.9966210725099346,0.9966210725099346
fold,CNN,101,6,503,7,1,0.731610337972167,0.731610337972167,0.7208099621143794,0.5998839144785869,0.7611749683385759,0.7611749683385759
fold,CNN,101,7,389,6,1,0.519280205655527,0.519280205655527,0.7936059132330153,0.4947231771496477,0.9460097051281713,0.9460097051281713
fold,CNN,101,8,342,6,1,0.7543859649122807,0.7543859649122807,0.7382549904571277,0.5602724258039984,0.6712631134482251,0.6712631134482251
fold,CNN,101,9,238,7,1,0.9327731092436975,0.9327731092436975,0.9082409023859422,0.8100030048176552,0.28336886180249854,0.28336886180249854
aggregate_oof,CNN,131,-1,5000,8,10,0.5824,0.6083660951866736,0.5824,0.5552310000200209,1.0026775516115511,1.0026775516115511
fold,CNN,131,0,401,6,1,0.5610972568578554,0.5610972568578554,0.5586772387017485,0.3188696018267252,1.7796590194707675,1.7796590194707675
fold,CNN,131,1,284,6,1,0.6514084507042254,0.6514084507042254,0.46033731558220187,0.24259708964128568,1.1536903840409418,1.1536903840409418
fold,CNN,131,2,740,7,1,0.6554054054054054,0.6554054054054054,0.5839630843832524,0.5007603205972772,0.850167953181901,0.850167953181901
